	Name	Type	Unique_Private_key
0	Generic_Government	Government	G001
1	Deutsche Bank	Bank	B00012
2	Goldman Sachs	Bank	B00011
3	Credit Suisse	Bank	B00010
4	Société Générale	Bank	B00009
5	Barclays PLC	Bank	B00008
6	Mizuho Financial Group	Bank	B00007
7	Bank of America	Bank	B00006
8	BNP Paribas	Bank	B00005
9	HSBC Holdings PLC	Bank	B00004
10	JPMorgan Chase & Co.	Bank	B00003
11	Mitsubishi UFJ Financial Group	Bank	B00002
12	Bank of China	Bank	B00001
13	AISTEDA	University	U80282806
14	Abatz	Company	C37264217
15	Academy of International Economic and Political Relations, Gdynia	University	U10354247
16	Acharya Nagarjuna University	University	U87662629
17	Adler School of Professional Psychology	University	U22534560
18	Adnan Menderes University	University	U55035650
19	Adventist University of Africa	University	U58445753
20	Afghan University	University	U37721500
21	African Virtual University	University	U23217377
22	Aga Khan University	University	U40899243
23	Agimba	Company	C20247677
24	Agivu	Company	C96453177
25	Agricultural University of Cracow	University	U88659714
26	Agricultural University of Warsaw	University	U84840577
27	Agriculture and Forestry University	University	U37371449
28	Ahi Evran University	University	U52094461
29	Aibox	Company	C54234546
30	Aichi University of Education	University	U72794724
31	Ailane	Company	C38221882
32	Aimbo	Company	C9836979
33	Aimbu	Company	C34441469
34	Ainyx	Company	C6130982
35	Aivee	Company	C50128528
36	Ajman University of Science & Technology	University	U5751001
37	Al Ghurair University	University	U68134442
38	Al Maarif University College	University	U33765529
39	Alabama State University	University	U81378110
40	Alagappa University	University	U79839699
41	Alahgaff University	University	U45371656
42	Albany Medical Center	University	U48279973
43	Albert-Ludwigs-Universität Freiburg	University	U18479397
44	Aleksander Gieysztor School of Humanities in Pultusk	University	U2116538
45	Alfaisal University	University	U66070351
46	Allegheny College	University	U70081153
47	Alma College	University	U42122705
48	Alvernia College	University	U92337290
49	American InterContinental University - Atlanta	University	U3714878
50	American InterContinental University - Ft. Lauderdale	University	U10470580
51	American International University West Africa	University	U1573615
52	American Military University	University	U55547117
53	American University	University	U20013963
54	American University in Dubai	University	U38454965
55	American University of Armenia	University	U84567623
56	American University of Middle East	University	U20773720
57	American University of Paris	University	U57674630
58	Amirkabir University of Technology	University	U20149641
59	Anadolu University	University	U50636038
60	Anhui Medical University	University	U42035094
61	Arab Open University	University	U9374170
62	Arabian Gulf University	University	U38230616
63	Arba Minch University	University	U26838529
64	Aristotle University of Thessaloniki	University	U33085565
65	Arizona State University, Downtown Phoenix Campus	University	U30616127
66	Ashesi University	University	U57657218
67	Asian Medical Institute	University	U97517263
68	Astrakhan State University	University	U83576517
69	Athabasca University	University	U45622848
70	Athens University of Economics and Business	University	U47570893
71	Athlone Institute of Technology	University	U52938462
72	Atish Dipankar University	University	U65533706
73	Aurora University	University	U31075907
74	Avamba	Company	C94147615
75	Avamm	Company	C2275895
76	Avavee	Company	C47282115
77	Avaveo	Company	C8959656
78	Aventis School of Management	University	U64148694
79	Azerbaijan Technology University	University	U45108100
80	Azusa Pacific University	University	U39201044
81	Azzahra University	University	U3718510
82	Babbleblab	Company	C94847200
83	Babbleopia	Company	C69545535
84	Babbleset	Company	C31916186
85	Babblestorm	Company	C3717363
86	Baghlan University	University	U11082994
87	Bahauddin Zakariya University, Multan	University	U40856705
88	Bahrain Polytechnic	University	U81057548
89	Baiko Women's College	University	U55399246
90	Baku Slavic University	University	U91343472
91	Balkh University	University	U40146348
92	Ballsbridge University 	University	U63997829
93	Baltic State Technical University	University	U20426687
94	Banat's University of Agricultural Sciences	University	U45497954
95	Bangladesh Open University	University	U17502677
96	Bangladesh University of Professionals	University	U36282658
97	Baptist Bible College of Missouri	University	U83460402
98	Barton College	University	U13507858
99	Baskent University	University	U7775602
100	Bauchi State University, Gadau	University	U89996549
101	Bayan College for Science & Technology	University	U36094414
102	Beijing Institute of Technology	University	U70028209
103	Beijing Union University	University	U10137844
104	Belarussian State Agrarian Technical University	University	U49772459
105	Belarussian State Pedagogical University M. Tanka	University	U78624879
106	Belgorod State Agricultural Academy	University	U41686979
107	Belgorod State Technical University	University	U89129198
108	Belmont Abbey College	University	U33774774
109	Benguet State University	University	U11502084
110	Bila Cerkva State Agrarian University	University	U47109994
111	Bishkek Humanities University	University	U82155001
112	Blackburn College	University	U16901897
113	BlogXS	Company	C44147192
114	Blognation	Company	C94675455
115	Blogpad	Company	C95461679
116	Blogspan	Company	C40934815
117	Blogtag	Company	C32095228
118	Blogtags	Company	C14371125
119	Bloomfield College	University	U23346796
120	Blue Mountains Hotel School	University	U78536430
121	Bluejam	Company	C10695943
122	Bluezoom	Company	C38565642
123	Bosaso College	University	U1278551
124	Boston University	University	U59354502
125	Brainbox	Company	C50269905
126	Brainlounge	Company	C66146322
127	Brainsphere	Company	C17194228
128	Brainverse	Company	C82485648
129	Brandenburgische Technische Universität Cottbus	University	U37889677
130	Brexgata University Academy	University	U43816330
131	Brigham Young University	University	U67531663
132	Brightbean	Company	C13547590
133	Brightdog	Company	C92752521
134	British Malaysian Institute	University	U69212607
135	Brookdale Community College	University	U83955612
136	Browseblab	Company	C99039618
137	Browsebug	Company	C85893933
138	Browsecat	Company	C5718339
139	Browsedrive	Company	C75271009
140	Browsetype	Company	C97828093
141	Bryn Mawr College	University	U7541900
142	Bubblebox	Company	C1769980
143	Bubblemix	Company	C52904035
144	Bubbletube	Company	C40269027
145	Buckinghamshire New University	University	U55641900
146	Buddhasravaka Bhikshu University	University	U74330332
147	Buzzdog	Company	C77764870
148	Buzzshare	Company	C80548762
149	Buzzster	Company	C21700951
150	CCS Haryana Agricultural University	University	U59495303
151	COSMIQ Institute of Technology	University	U67922273
152	California Institute of the Arts	University	U31588340
153	California State University, Bakersfield	University	U99689862
154	Cambodia University of Specialties	University	U13520438
155	Camido	Company	C93395528
156	Camimbo	Company	C27867869
157	Camosun College	University	U18795955
158	Capitol University	University	U31856322
159	Carl von Ossietzky Universität Oldenburg	University	U41144895
160	Carnegie Mellon University	University	U58577744
161	Carson-Newman College	University	U52544891
162	Castleton State College	University	U47400320
163	Catholic University in Ružomberok	University	U6459258
164	Catholic University of Korea	University	U50706814
165	Catholic University of Pusan	University	U31193900
166	Cecos Univeristy of Information Technology	University	U7210629
167	Centenary College of Louisiana	University	U47380297
168	Center for Entrepreneurship and Small Business Management	University	U73377623
169	Centidel	Company	C67527170
170	Centimia	Company	C99400552
171	Centizu	Company	C85817272
172	Central University for Nationalities	University	U9237065
173	Centre Universitaire d'Oum El Bouaghi	University	U19556383
174	Centre Universitaire de Technologie	University	U20141179
175	Chaminade University of Honolulu	University	U89371713
176	Champlain College	University	U80266776
177	Chang Gung University	University	U84020345
178	Changchun Teachers College	University	U1828304
179	Chatterbridge	Company	C51133983
180	Chatterpoint	Company	C41402420
181	Cheyney University of Pennsylvania	University	U63427004
182	Chiba University	University	U42771323
183	China University of Mining Technology - Xuzhou	University	U66742423
184	Chongqing Medical University	University	U63418100
185	Chongqing Normal University	University	U16372481
186	Chongqing University of Communications	University	U44358326
187	Chubu University	University	U23904061
188	Chulalongkorn University	University	U29918667
189	Cihan University	University	U90950729
190	Circleville Bible College	University	U50660149
191	City University of New York, Graduate School and University Center	University	U65323259
192	Claflin College	University	U20054798
193	Clark Atlanta University	University	U30738053
194	Clark University	University	U30312947
195	Coastal Carolina University	University	U67727113
196	Cogibox	Company	C49716193
197	Cogidoo	Company	C12769489
198	Cogilith	Company	C50733348
199	College of Busniess Admnistration	University	U4213894
200	College of Nursing and Allied Health Scinces	University	U2946793
201	College of Technology at Jeddah	University	U18186616
202	College of Telecommunication & Information 	University	U85473548
203	Colorado School of Mines	University	U41791318
204	Colorado State University-Pueblo	University	U94771255
205	Columbia College South Carolina	University	U3975360
206	Columbus University	University	U25395225
207	Concordia College, Bronxville	University	U32821948
208	Concordia College, Seward	University	U76840914
209	Concordia College, St. Paul	University	U7755705
210	Concordia University, Irvine	University	U91535929
211	Conservatorio del Tolima	University	U9364450
212	Copenhagen Business School	University	U48773877
213	Cornell College	University	U47796778
214	DabZ	Company	C69424172
215	Dabfeed	Company	C92377484
216	Dabjam	Company	C8921738
217	Dablist	Company	C25152174
218	Dabshots	Company	C52904309
219	Dabtype	Company	C98555577
220	Dabvine	Company	C78370172
221	Dadabhoy Institute of Higher Education	University	U99838855
222	Dalian University of Foreign Language	University	U47493520
223	Dallas Christian College	University	U49293431
224	Davenport College of Business, Lansing	University	U97031930
225	Davis and Elkins College	University	U40247279
226	Dazzlesphere	Company	C54637813
227	De La Salle University	University	U85168902
228	DeVry Institute of Technology, Chicago	University	U90519931
229	DeVry Institute of Technology, Columbus	University	U90615770
230	Delaware State University	University	U96500759
231	Demivee	Company	C95233394
232	Demizz	Company	C98672757
233	Deutsche Sporthochschule Köln	University	U11458251
234	Devbug	Company	C80417610
235	Devcast	Company	C83381371
236	Devify	Company	C6546749
237	Devpoint	Company	C35808862
238	Devpulse	Company	C99528065
239	Digitube	Company	C34888895
240	Divanoodle	Company	C55262115
241	Divape	Company	C7090371
242	Divavu	Company	C59946889
243	Divine Word University	University	U61826510
244	Donetsk State Medical University	University	U20249244
245	Dong-A University	University	U14971468
246	Dongbei University of Finance And Economics	University	U90247131
247	Donghua University, Shanghai	University	U58761642
248	Dordt College	University	U5092476
249	Dr. Babasaheb Ambedkar Marathwada Universtiy	University	U15133344
250	Dr. YS Parmar University of Horticulture and Forestry	University	U40889044
251	Drake University	University	U61159616
252	Duksung Women's University	University	U8504796
253	Dynabox	Company	C33828919
254	Dynava	Company	C30640160
255	Dynazzy	Company	C10093745
256	Eabox	Company	C83590193
257	Eadel	Company	C55462538
258	Eare	Company	C93362437
259	East Central University	University	U7071449
260	East China Jiao Tong University	University	U78353901
261	East China Normal University	University	U7444714
262	East-Siberian State University of Technology	University	U31696839
263	Eastern Mediterranean University	University	U47178889
264	Eayo	Company	C3655789
265	Eazzy	Company	C58757169
266	Ecole Centrale de Lyon	University	U1222718
267	Ecole Centrale de Nantes	University	U63233893
268	Ecole Européen des Affaires	University	U33218369
269	Ecole Française de Papeterie et des Industries Graphiques	University	U48100485
270	Ecole Nationale Supérieur d'Ingénieurs de Constructions Aéronautique	University	U12532339
271	Ecole Nationale Supérieure d'Electronique et de Radioelectricite de Grenoble	University	U97206562
272	Ecole Nationale Supérieure d'Hydraulique et de Mécanique de Grenoble	University	U12391151
273	Ecole Nationale Supérieure de Chimie de Lille	University	U47584229
274	Ecole Nationale Supérieure de Chimie de Paris	University	U68861647
275	Ecole Nationale Supérieure des Telecommunications de Bretagne	University	U17786327
276	Ecole Polytechnique Universitaire de Lille	University	U42208843
277	Ecole Superieure Robert de Sorbon	University	U75450069
278	Ecole Supérieure Internationale d'Administration des Entreprises	University	U5546047
279	Ecole Supérieure d'Electronique de l'Ouest	University	U19080323
280	Ecole Supérieure d'Ingénieurs en Génie Electrique	University	U66100988
281	Ecole Supérieure de Commerce de Lille	University	U19144681
282	Ecole Supérieure de Commerce de Rouen	University	U60588106
283	Ecole Supérieure de Commerce de Toulouse	University	U76495802
284	Edgeblab	Company	C8732350
285	Edgeclub	Company	C29878178
286	Edgeify	Company	C32094320
287	Edgepulse	Company	C34737046
288	Edgetag	Company	C34210329
289	Edgewire	Company	C50567653
290	Ege University	University	U34383585
291	Ehime University	University	U66638295
292	Eidel	Company	C15220374
293	Eimbee	Company	C35474181
294	Eindhoven University of Technology	University	U76998006
