	Name	Type	Unique_Private_key
0	Generic_Government	Government	G001
1	Goldman Sachs	Bank	B00011
2	Credit Suisse	Bank	B00010
3	Société Générale	Bank	B00009
4	Barclays PLC	Bank	B00008
5	Mizuho Financial Group	Bank	B00007
6	Bank of America	Bank	B00006
7	BNP Paribas	Bank	B00005
8	HSBC Holdings PLC	Bank	B00004
9	JPMorgan Chase & Co.	Bank	B00003
10	Mitsubishi UFJ Financial Group	Bank	B00002
11	Bank of China	Bank	B00001
12	Ahi Evran University	University	U83137890
13	Aibox	Company	C76308068
14	Ailane	Company	C42818683
15	Aimbo	Company	C42177227
16	Aimbu	Company	C64147897
17	Ainyx	Company	C76872633
18	Aivee	Company	C19286094
19	Ajman University of Science & Technology	University	U31848412
20	Alahgaff University	University	U38068605
21	Aleksander Gieysztor School of Humanities in Pultusk	University	U31887980
22	Allegheny College	University	U43565953
23	American InterContinental University - Ft. Lauderdale	University	U70131407
24	American International University West Africa	University	U21158924
25	American University	University	U16297091
26	American University of Armenia	University	U15203807
27	Anhui Medical University	University	U29914494
28	Arab Open University	University	U60182310
29	Avamba	Company	C6102437
30	Avamm	Company	C93933092
31	Avavee	Company	C91325419
32	Azusa Pacific University	University	U38378666
33	Babbleopia	Company	C37844266
34	Babbleset	Company	C32484611
35	Bahrain Polytechnic	University	U62991956
36	Beijing Institute of Technology	University	U39559998
37	Blognation	Company	C55318309
38	Blogspan	Company	C9971980
39	Blogtag	Company	C55871758
40	Bloomfield College	University	U83563531
41	Blue Mountains Hotel School	University	U35650208
42	Bluejam	Company	C79904119
43	Bluezoom	Company	C53701016
44	Brainbox	Company	C31499909
45	Brainsphere	Company	C32701054
46	Brigham Young University	University	U50371873
47	British Malaysian Institute	University	U55998464
48	Browsebug	Company	C19936834
49	Browsecat	Company	C77877363
50	Browsetype	Company	C46935253
51	Bubblebox	Company	C2423061
52	Bubblemix	Company	C83848101
53	Bubbletube	Company	C32378535
54	Buckinghamshire New University	University	U97496377
55	Buzzdog	Company	C58459336
56	Buzzshare	Company	C93971332
57	COSMIQ Institute of Technology	University	U91808816
58	Catholic University of Pusan	University	U75608545
59	Centidel	Company	C31673741
60	Centimia	Company	C79030712
61	Chang Gung University	University	U77839722
62	Chatterbridge	Company	C90094031
63	Chatterpoint	Company	C27902377
64	China University of Mining Technology - Xuzhou	University	U44407262
65	Chulalongkorn University	University	U32090925
66	Coastal Carolina University	University	U32325100
67	Cogibox	Company	C56262043
68	Cogidoo	Company	C66661075
69	Cogilith	Company	C54003481
70	College of Busniess Admnistration	University	U87427167
71	Concordia College, Bronxville	University	U52782886
72	Concordia University, Irvine	University	U8377045
73	Conservatorio del Tolima	University	U59981545
74	Dabfeed	Company	C41000373
75	Dabjam	Company	C73633831
76	Dablist	Company	C33162519
